Population LAT LONG ELEVATION
Pi_183 50 -115.8 920
Pi_184 49.05 -116.03 1100
Pi_185 51.61 -119.98 710
Pi_186 53.78 -121.75 750
Pi_187 51.16 -117.1 1890
Pi_188 49.05 -115.28 850
Pi_189 49.38 -115.68 1975
Pi_190 50.5 -122.73 650
Pi_191 50.26 -122.85 400
Pi_192 56.45 -125.65 1300
Pi_193 50.7 -119.12 800
Pi_194 50.7 -119.18 777
Pi_195 56.06 -120.28 700
Pi_196 55.33 -121.93 775
Pi_197 54.91 -121.23 920
Pi_198 53.63 -124.14 1230
Pi_199 53.61 -124.2 1166
Pi_200 54.7 -124.71 750
Pi_201 51.83 -121.38 910
Pi_202 49.43 -115.52 915
Pi_203 50 -121.08 900
Pi_204 53.83 -132.1 60
Pi_205 50.63 -126.91 150
Pi_206 51.03 -120.31 1330
Pi_207 51.15 -120.18 850
Pi_208 55.28 -129.15 300
Pi_209 52.16 -121.65 1052
Pi_210 52.23 -123.95 1040
Pi_211 51.7 -122.61 1240
Pi_212 49.41 -124.65 100
Pi_213 49.56 -119.05 890
Pi_214 50.35 -119.05 1600
Pi_215 49.23 -124.66 500
Pi_216 49.3 -124.51 100
Pi_217 49.3 -117.91 1560
Pi_218 54.43 -128.58 180
Pi_219 52.33 -122.41 912
Pi_220 51.35 -121.38 1080
Pi_221 49.9 -118.2 560
Pi_222 57.18 -122.65 1165
Pi_223 51.5 -117.16 900
Pi_224 50.06 -115.85 1650
Pi_225 49.11 -117.58 1000
Pi_226 49.47 -117.85 1780
Pi_227 49.61 -120.43 1290
Pi_228 50.86 -123.38 1150
Pi_229 52.88 -125.66 1050
Pi_230 55.38 -124.71 1205
Pi_231 52.76 -122.13 690
Pi_232 49.8 -120.7 985
Pi_233 55.06 -126.28 740
Pi_234 53.31 -122.5 700
Pi_235 51.55 -117.2 1200
Pi_236 51.61 -123.1 1300
Pi_237 55.5 -123.79 1320
Pi_238 49.58 -120.38 1000
Pi_239 50.85 -120.4 1120
Pi_240 56.21 -122.1 830
Pi_241 53.1 -122.76 810
Pi_242 52.85 -122.61 890
Pi_243 53.95 -124.6 750
Pi_244 50.95 -122.3 1000
Pi_245 56.08 -124.31 750
Pi_246 49.48 -119.31 1400
Pi_247 53.83 -126.55 898
Pi_248 53.27 -124.5 1200
Pi_249 54.89 -125.21 750
Pi_250 54.07 -127.24 835
Pi_251 50.01 -120.11 1450
Pi_252 49.66 -120.55 1450
Pi_253 53.2 -123.35 1200
Pi_254 55.02 -124.23 1000
Pi_255 49.1 -120.37 1950
Pi_256 53.35 -125.64 960
Pi_257 53.21 -124.39 1225
Pi_258 49.29 -114.9 1200
Pi_259 52.58 -125.53 1210
Pi_260 51.33 -122.55 1620
Pi_261 52.35 -122.95 1230
Pi_262 50.18 -119.67 1655
Pi_263 53.82 -123.12 713
Pi_264 53.59 -124.85 950
Pi_265 54.75 -124.12 850
Pi_266 49.5 -120.65 790
Pi_267 52.68 -122.26 1360
Pi_268 54.76 -126.88 880
Pi_269 54.79 -123.81 900
Pi_270 52.91 -119.3 1500
Pi_271 49.43 -114.78 1750
Pi_272 51.92 -123.43 1098
Pi_273 51.69 -120.06 930
Pi_274 49.72 -118.93 1800
Pi_275 49.88 -118.92 1725
Pi_276 56.05 -124.59 850
Pi_277 54.59 -123.17 778
Pi_278 50.3 -120.89 1435
Pi_279 50.35 -120.65 1590
Pi_280 56.06 -124.56 1310
Pi_281 51.79 -120.53 1242
Pi_581 47.01 -122.87 55
Pi_582 39.57 -108.19 2463
Pi_583 59.6 -128.54 957
Pi_584 42.23 -122.34 1474
